sample_size,Python,Scala
50,18.32446289,4.784148
100,63.06420898,3.830754
200,52.61303711,3.79734
400,102.7634277,5.522269
800,202.8369141,8.587562
1600,394.5900879,22.36816
3200,756.2497559,34.768878
6400,1547.081787,49.424443
12800,3088.158936,101.899321
25600,6387.233643,221.306597
