sample_size,Python,Scala
50,22.09594727,8.35143
100,66.59692383,6.061854
200,54.98876953,6.383854
400,105.3747559,7.168527
800,209.9382324,18.817111
1600,397.041748,31.714436
3200,759.7895508,40.165981
6400,1549.869141,59.660615
12800,3091.661865,120.097722
25600,6391.563232,260.825688
