Dimension,Python,Scala
4,6387.233643,221.306597
8,6286.552979,428.315508
12,7044.895752,907.1196
16,9963.7229,1195.409123
20,10563.52563,2421.38753
24,10848.99023,1776.266577
28,14602.01465,2130.084412
